set,index,points,current,tiny11_DIRECT_NEW_WIRE,currentPlusTiny11_NEW_WIRE
prefix2,92,2,21,19,19
prefix3,92,3,23,21,21
prefix5,92,5,27,25,25
prefix10,92,10,37,35,35
prefix1,93,1,14,13,13
prefix2,93,2,19,18,18
prefix3,93,3,21,19,19
prefix5,93,5,24,23,23
prefix10,93,10,34,33,33
full_tiny,94,5,27,25,25
prefix1,94,1,15,13,13
prefix2,94,2,19,18,18
prefix3,94,3,22,20,20
prefix5,94,5,27,25,25
full_tiny,95,5,27,25,25
prefix1,95,1,15,13,13
prefix2,95,2,19,18,18
prefix3,95,3,22,20,20
prefix5,95,5,27,25,25
prefix1,96,1,15,13,13
prefix2,96,2,19,18,18
prefix3,96,3,22,21,21
prefix5,96,5,27,26,26
prefix10,96,10,40,39,39
full_tiny,97,5,32,30,30
prefix1,97,1,16,14,14
prefix2,97,2,22,21,21
prefix3,97,3,26,24,24
prefix5,97,5,32,30,30
prefix1,98,1,16,14,14
prefix2,98,2,19,18,18
prefix3,98,3,22,21,21
prefix5,98,5,26,24,24
prefix10,98,10,37,35,35
prefix1,99,1,14,13,13
prefix2,99,2,19,18,18
prefix3,99,3,21,19,19
prefix5,99,5,25,24,24
prefix10,99,10,35,34,34
full_tiny,100,4,24,23,23
prefix1,100,1,16,15,15
prefix2,100,2,19,18,18
prefix3,100,3,22,21,21
prefix1,101,1,16,14,14
prefix2,101,2,19,18,18
prefix3,101,3,22,20,20
prefix5,101,5,26,24,24
prefix10,101,10,34,33,33
prefix1,102,1,14,13,13
prefix2,102,2,19,18,18
prefix3,102,3,19,18,18
prefix5,102,5,26,24,24
prefix10,102,10,38,37,37
prefix1,103,1,16,15,15
prefix2,103,2,21,19,19
prefix3,103,3,23,22,22
prefix5,103,5,28,27,27
prefix10,103,10,42,40,40
prefix1,104,1,14,13,13
prefix2,104,2,19,18,18
prefix3,104,3,21,19,19
prefix5,104,5,26,24,24
prefix10,104,10,38,37,37
prefix1,105,1,14,13,13
prefix2,105,2,19,18,18
prefix3,105,3,22,21,21
prefix5,105,5,25,24,24
prefix10,105,10,34,33,33
prefix1,106,1,14,13,13
prefix2,106,2,19,18,18
prefix3,106,3,21,19,19
prefix5,106,5,24,23,23
prefix10,106,10,34,33,33
prefix1,107,1,14,13,13
prefix2,107,2,19,18,18
prefix3,107,3,22,21,21
prefix5,107,5,27,25,25
prefix10,107,10,38,36,36
full_tiny,108,8,40,39,39
prefix1,108,1,16,14,14
prefix2,108,2,22,21,21
prefix3,108,3,24,23,23
prefix5,108,5,30,29,29
prefix1,109,1,14,13,13
prefix2,109,2,18,17,17
prefix3,109,3,21,19,19
prefix5,109,5,24,23,23
prefix10,109,10,34,33,33
prefix1,110,1,16,15,15
prefix2,110,2,21,19,19
prefix3,110,3,22,21,21
prefix5,110,5,27,26,26
prefix10,110,10,43,41,41
full_tiny,111,13,55,54,54
prefix1,111,1,14,13,13
prefix2,111,2,19,18,18
prefix3,111,3,23,22,22
prefix5,111,5,28,27,27
prefix10,111,10,46,44,44
full_tiny,112,16,66,65,65
prefix1,112,1,14,13,13
prefix2,112,2,19,18,18
prefix3,112,3,23,22,22
prefix5,112,5,29,28,28
prefix10,112,10,45,44,44
full_tiny,113,3,22,21,21
prefix1,113,1,16,14,14
prefix2,113,2,19,18,18
prefix3,113,3,22,21,21
prefix1,114,1,14,13,13
prefix2,114,2,19,18,18
prefix3,114,3,21,19,19
prefix5,114,5,26,24,24
prefix10,114,10,34,33,33
prefix1,115,1,14,13,13
prefix2,115,2,19,18,18
prefix3,115,3,22,21,21
prefix5,115,5,26,24,24
prefix10,115,10,43,41,41
prefix1,116,1,15,13,13
prefix2,116,2,18,17,17
prefix3,116,3,21,19,19
prefix5,116,5,26,24,24
prefix10,116,10,37,35,35
prefix1,117,1,14,13,13
prefix2,117,2,19,18,18
prefix3,117,3,22,21,21
prefix5,117,5,28,28,28
prefix10,117,10,39,38,38
prefix1,118,1,16,14,14
prefix2,118,2,19,18,18
prefix3,118,3,22,20,20
prefix5,118,5,27,25,25
prefix10,118,10,37,35,35
full_tiny,119,9,37,35,35
prefix1,119,1,14,13,13
prefix2,119,2,18,17,17
prefix3,119,3,22,21,21
prefix5,119,5,27,26,26
prefix1,120,1,14,13,13
prefix2,120,2,19,18,18
prefix3,120,3,22,20,20
prefix5,120,5,26,24,24
prefix10,120,10,38,36,36
prefix1,121,1,14,13,13
prefix2,121,2,21,19,19
prefix3,121,3,24,23,23
prefix5,121,5,32,30,30
prefix10,121,10,49,48,48
full_tiny,122,8,38,37,37
prefix1,122,1,14,13,13
prefix2,122,2,19,18,18
prefix3,122,3,22,21,21
prefix5,122,5,29,28,28
prefix1,123,1,14,13,13
prefix2,123,2,19,18,18
prefix3,123,3,21,19,19
prefix5,123,5,28,27,27
prefix10,123,10,40,39,39
prefix1,124,1,16,14,14
prefix2,124,2,21,19,19
prefix3,124,3,23,22,22
prefix5,124,5,29,28,28
prefix10,124,10,44,43,43
prefix1,125,1,14,13,13
prefix2,125,2,19,18,18
prefix3,125,3,22,21,21
prefix5,125,5,26,24,24
prefix10,125,10,39,38,38
prefix1,126,1,14,13,13
prefix2,126,2,19,18,18
prefix3,126,3,22,21,21
prefix5,126,5,24,23,23
prefix10,126,10,35,34,34
full_tiny,127,16,60,58,58
prefix1,127,1,14,13,13
prefix2,127,2,20,18,18
prefix3,127,3,22,21,21
prefix5,127,5,27,26,26
prefix10,127,10,43,42,42
full_tiny,128,10,39,38,38
prefix1,128,1,16,14,14
prefix2,128,2,21,19,19
prefix3,128,3,23,21,21
prefix5,128,5,28,26,26
prefix10,128,10,39,38,38
full_tiny,129,8,37,35,35
prefix1,129,1,16,14,14
prefix2,129,2,21,19,19
prefix3,129,3,23,22,22
prefix5,129,5,28,27,27
prefix1,130,1,14,13,13
prefix2,130,2,19,18,18
prefix3,130,3,22,21,21
prefix5,130,5,27,26,26
prefix10,130,10,41,39,39
prefix1,131,1,15,13,13
prefix2,131,2,19,18,18
prefix3,131,3,21,19,19
prefix5,131,5,23,22,22
prefix10,131,10,34,33,33
prefix1,132,1,16,14,14
prefix2,132,2,19,18,18
prefix3,132,3,21,19,19
prefix5,132,5,23,22,22
prefix10,132,10,32,31,31
prefix1,133,1,14,13,13
prefix2,133,2,19,18,18
prefix3,133,3,21,19,19
prefix5,133,5,24,23,23
prefix10,133,10,33,32,32
prefix1,134,1,14,13,13
prefix2,134,2,19,18,18
prefix3,134,3,23,22,22
prefix5,134,5,31,29,29
prefix10,134,10,46,45,45
full_tiny,135,8,35,34,34
prefix1,135,1,16,14,14
prefix2,135,2,21,19,19
prefix3,135,3,23,22,22
prefix5,135,5,28,26,26
prefix1,136,1,15,13,13
prefix2,136,2,18,17,17
prefix3,136,3,19,18,18
prefix5,136,5,24,23,23
prefix10,136,10,33,32,32
prefix1,137,1,14,13,13
prefix2,137,2,18,17,17
prefix3,137,3,21,19,19
prefix5,137,5,27,26,26
prefix10,137,10,39,38,38
full_tiny,138,14,61,60,60
prefix1,138,1,15,13,13
prefix2,138,2,19,18,18
prefix3,138,3,23,22,22
prefix5,138,5,31,29,29
prefix10,138,10,49,48,48
prefix1,139,1,14,13,13
prefix2,139,2,18,17,17
prefix3,139,3,22,21,21
prefix5,139,5,26,24,24
prefix10,139,10,39,38,38
prefix1,140,1,16,14,14
prefix2,140,2,20,19,19
prefix3,140,3,22,20,20
prefix5,140,5,27,25,25
prefix10,140,10,35,34,34
prefix1,141,1,14,13,13
prefix2,141,2,19,18,18
prefix3,141,3,22,20,20
prefix5,141,5,24,23,23
prefix10,141,10,35,34,34
prefix1,142,1,15,13,13
prefix2,142,2,18,17,17
prefix3,142,3,21,19,19
prefix5,142,5,26,24,24
prefix10,142,10,35,34,34
prefix1,143,1,15,13,13
prefix2,143,2,19,18,18
prefix3,143,3,21,19,19
prefix5,143,5,26,24,24
prefix10,143,10,35,34,34
full_tiny,144,3,21,19,19
prefix1,144,1,14,13,13
prefix2,144,2,19,18,18
prefix3,144,3,21,19,19
full_tiny,145,5,29,28,28
prefix1,145,1,15,13,13
prefix2,145,2,19,18,18
prefix3,145,3,23,22,22
prefix5,145,5,29,28,28
prefix1,146,1,14,13,13
prefix2,146,2,19,18,18
prefix3,146,3,21,19,19
prefix5,146,5,24,23,23
prefix10,146,10,35,34,34
prefix1,147,1,16,14,14
prefix2,147,2,21,19,19
prefix3,147,3,23,22,22
prefix5,147,5,28,27,27
prefix10,147,10,40,39,39
prefix1,148,1,15,13,13
prefix2,148,2,19,18,18
prefix3,148,3,21,19,19
prefix5,148,5,24,23,23
prefix10,148,10,34,33,33
prefix1,149,1,14,14,14
prefix2,149,2,19,18,18
prefix3,149,3,21,19,19
prefix5,149,5,24,23,23
prefix10,149,10,33,32,32
prefix1,150,1,16,14,14
prefix2,150,2,19,18,18
prefix3,150,3,22,20,20
prefix5,150,5,27,25,25
prefix10,150,10,36,35,35
prefix1,151,1,15,13,13
prefix2,151,2,19,18,18
prefix3,151,3,22,21,21
prefix5,151,5,27,25,25
prefix10,151,10,40,39,39
prefix1,152,1,16,14,14
prefix2,152,2,21,19,19
prefix3,152,3,22,20,20
prefix5,152,5,27,25,25
prefix10,152,10,40,39,39
prefix1,153,1,15,13,13
prefix2,153,2,19,18,18
prefix3,153,3,23,22,22
prefix5,153,5,29,28,28
prefix10,153,10,45,44,44
prefix1,154,1,15,13,13
prefix2,154,2,18,17,17
prefix3,154,3,21,19,19
prefix5,154,5,24,23,23
prefix10,154,10,35,34,34
prefix1,155,1,14,13,13
prefix2,155,2,19,18,18
prefix3,155,3,21,19,19
prefix5,155,5,24,23,23
prefix10,155,10,34,33,33
full_tiny,156,13,49,48,48
prefix1,156,1,15,15,15
prefix2,156,2,19,18,18
prefix3,156,3,22,21,21
prefix5,156,5,27,26,26
prefix10,156,10,40,39,39
prefix1,157,1,14,13,13
prefix2,157,2,19,18,18
prefix3,157,3,21,19,19
prefix5,157,5,24,23,23
prefix10,157,10,33,32,32
prefix1,158,1,14,13,13
prefix2,158,2,21,19,19
prefix3,158,3,24,23,23
prefix5,158,5,33,32,32
prefix10,158,10,50,49,49
full_tiny,159,3,22,21,21
prefix1,159,1,14,13,13
prefix2,159,2,19,18,18
prefix3,159,3,22,21,21
prefix1,160,1,14,13,13
prefix2,160,2,19,18,18
prefix3,160,3,22,21,21
prefix5,160,5,27,26,26
